Time,number_of_trips,avg_tip,avg_distance,avg_trip_pooled
0:00:00 AM,1347531,0.6662740968482358,6.701388910533265,1.2266649153154918
0:00:00 PM,1755906,0.5882011907243326,5.871899122162377,1.2247238747404474
0:15:00 AM,1326525,0.6656859086711521,6.757904298825998,1.228029626279188
0:15:00 PM,1753998,0.5686443200049259,5.813327039141567,1.239373705101146
0:30:00 AM,1323259,0.666008695198748,6.7329358047068375,1.2275042149722768
0:30:00 PM,1684143,0.5579122437940246,5.766188084978495,1.2314761869983724
0:45:00 AM,1362115,0.6610712017707756,6.429920748248234,1.2132250213821887
0:45:00 PM,1609095,0.5546117538119253,5.757341549131569,1.227571398829777
1:00:00 AM,2181450,0.6180054550872126,6.4338430860207465,1.1969038941988128
1:00:00 PM,2978304,0.6209335917354306,6.201836850771329,1.2255330550541517
1:15:00 AM,2151753,0.6228865487813889,6.479845456239369,1.2022281367796397
1:15:00 PM,2953638,0.6185314517215719,6.285199438793738,1.2325816501548261
1:30:00 AM,2126437,0.611532342599381,6.375543926295327,1.2068055625442935
1:30:00 PM,2833585,0.6084821877586167,6.202574300753286,1.2266263408367846
1:45:00 AM,2163414,0.6016199395954727,6.113376635262566,1.2023602509736926
1:45:00 PM,2684797,0.5944702709366854,6.0201180945896215,1.2201879695187383
2:00:00 AM,1804168,0.4818309603096829,5.755471330829453,1.2198331862664675
2:00:00 PM,2893797,0.7065381573068187,6.603659067999772,1.2304643345749546
2:15:00 AM,1722765,0.476146775677472,5.858490507991289,1.1964336401076177
2:15:00 PM,2930151,0.6992625977296051,6.654807619130029,1.2411537835422133
2:30:00 AM,1524704,0.4690267750330556,5.931278267781447,1.1832939377085652
2:30:00 PM,2920705,0.6830552897331295,6.551387387634461,1.2454537517482938
2:45:00 AM,1377694,0.4639760353169862,5.979313911507419,1.177494421838231
2:45:00 PM,2977833,0.6724467087308119,6.3225810178073365,1.2391168342885581
3:00:00 AM,413642,0.4546225963514343,6.478210868335443,1.166269382702917
3:00:00 PM,1547858,0.7142741776054392,6.668720580311198,1.2586064096318912
3:15:00 AM,376086,0.46595991342405724,6.971604898879454,1.1739868008912855
3:15:00 PM,1616190,0.7141282893719179,6.704404618268912,1.2781164343301221
3:30:00 AM,358472,0.5199039255506707,7.598490816577122,1.1750122743198912
3:30:00 PM,1634156,0.6937532279659959,6.533827676183098,1.283078849265309
3:45:00 AM,354329,0.5432916865399107,7.766137121150086,1.1777359459711172
3:45:00 PM,1652141,0.6716848017209185,6.212398094351117,1.2785361539965414
4:00:00 AM,360849,0.6768842368968737,8.74840224027226,1.1714318177409386
4:00:00 PM,1678946,0.6823965749940737,6.248828312524403,1.287018760579554
4:15:00 AM,362628,0.7312093936485875,9.614843586264564,1.1852173577329936
4:15:00 PM,1756957,0.6702099140730251,6.203378625657664,1.2976794537373424
4:30:00 AM,370816,0.8185811831204695,10.33755851958928,1.1905716042457715
4:30:00 PM,1771886,0.664574921862919,6.041266085967419,1.2959157643324684
4:45:00 AM,377095,0.8102812288680571,10.145180392208465,1.1866930083931104
4:45:00 PM,1835226,0.6530487253341005,5.7920135721703385,1.2956889233260644
5:00:00 AM,411289,0.9396409823749237,11.05791791173579,1.1874472694382783
5:00:00 PM,1926534,0.6584991492493774,5.737876621954393,1.2999334556254911
5:15:00 AM,462194,0.9056954439045076,11.102721584442845,1.2278675188340826
5:15:00 PM,2036197,0.6520876909257798,5.6600898144924106,1.3125404860138778
5:30:00 AM,529205,0.8791980423465386,10.691895012329432,1.2404172296180118
5:30:00 PM,2040522,0.6635243334793745,5.528833406353792,1.2948049567708655
5:45:00 AM,573653,0.8267227749179382,9.70512679267815,1.2236299644558644
5:45:00 PM,2093026,0.6438477113996672,5.310978076717223,1.278791567806611
6:00:00 AM,634710,0.9041625309196326,10.243204770682505,1.2222353515778859
6:00:00 PM,2122541,0.6360569713376562,5.314255366562992,1.2685041184127892
6:15:00 AM,722859,0.7794645982134828,9.473704692063265,1.2683621563818117
6:15:00 PM,2197987,0.6144381199706823,5.286142092741997,1.2668864738508463
6:30:00 AM,834054,0.6768338740657079,8.46052413872472,1.2864910425464058
6:30:00 PM,2176773,0.6117284622696073,5.283906406409269,1.2532841044978047
6:45:00 AM,946459,0.6062808848560793,7.378781119942933,1.2648006939550471
6:45:00 PM,2197964,0.60926657579469,5.21671551490364,1.2404056663348444
7:00:00 AM,1042890,0.6430937107460998,7.41046534150251,1.2646290596323677
7:00:00 PM,2152565,0.6081158989391726,5.330226079119379,1.2332863351397054
7:15:00 AM,1179948,0.5776017248217719,6.972434463213058,1.3013937902348238
7:15:00 PM,2153722,0.5974944770030672,5.397970536587469,1.2276923391226908
7:30:00 AM,1305837,0.5563205821247216,6.493622481212971,1.3136294958712305
7:30:00 PM,2054389,0.5911538661860047,5.481929955816477,1.2203618691494162
7:45:00 AM,1421251,0.5412224863869929,5.933503089883454,1.3003649601653755
7:45:00 PM,1970353,0.589352770797923,5.558237940105273,1.2174214468168902
8:00:00 AM,1486385,0.5776249087551341,6.0346769511266105,1.2936345563228908
8:00:00 PM,1887611,0.5885709502646467,5.6609311452410775,1.2141956155161207
8:15:00 AM,1559365,0.5452559214808592,5.915452443783432,1.3121283342899193
8:15:00 PM,1858621,0.59161550418294,5.75186834755444,1.2120437679333227
8:30:00 AM,1603581,0.5273434893528921,5.7598454957995235,1.3095359698075744
8:30:00 PM,1784059,0.6015826830839115,5.839810903114516,1.2045958121340157
8:45:00 AM,1652302,0.5142952075347,5.414257926214353,1.275673575411759
8:45:00 PM,1747891,0.6096163891226627,5.914373550753098,1.20431479995034
9:00:00 AM,1552888,0.5662275708228797,5.848428798470911,1.2546043243298937
9:00:00 PM,1765541,0.6037095711739348,5.873121666389848,1.2095136844740508
9:15:00 AM,1493509,0.5881866128694236,6.285838786374557,1.2579355062473678
9:15:00 PM,1813883,0.5895126642677615,5.83321112772952,1.2205048506436191
9:30:00 AM,1458885,0.6117809148767723,6.539379937417555,1.2546060861548374
9:30:00 PM,1782975,0.5936527433082348,5.862420392882926,1.2162385899970556
9:45:00 AM,1471410,0.6105198415125628,6.304941314793215,1.2335304231995161
9:45:00 PM,1760163,0.5999518226436983,5.916799750931925,1.2187081537334894
