DATE,Daily Avg Temperature,Daily Total Precipitation,Daily Avg WindSpeed
2018-11-01,49.23,0,14.68
2018-11-02,44.36,0,7.46
2018-11-03,43.89,0.05,6.43
2018-11-04,50.13,0.56,15.2
2018-11-05,48.36,0.45,9.98
2018-11-06,46,0.08,17.93
2018-11-07,36.88,0,14.53
2018-11-08,37.17,0,5.31
2018-11-09,31.84,0.08,11.38
2018-11-10,26.63,0,12.23
2018-11-11,34.54,0,7.89
2018-11-12,32.25,0,10.56
2018-11-13,24.11,0,10.32
2018-11-14,28.06,0,5.69
2018-11-15,32.31,0.22,7.78
2018-11-16,35.56,0,11.28
2018-11-17,34.64,0.12,5.67
2018-11-18,32.39,0.03,6.65
2018-11-19,29.79,0,7.21
2018-11-20,31.79,0,12.14
2018-11-21,33.07,0,10.32
2018-11-22,34.55,0,10.91
2018-11-23,43.57,0.04,11.77
2018-11-24,44.32,0.23,10.05
2018-11-25,37.95,1.01,15.1
2018-11-26,28.61,0.12,17.76
2018-11-27,22.24,0,10.03
2018-11-28,24.81,0,6.6
2018-11-29,32.61,0,5.57
2018-11-30,37.24,0,5.88
2018-12-01,40.48,1.55,13.36
2018-12-02,41.35,0.12,9.43
2018-12-03,33.15,0,13.33
2018-12-04,30.64,0,9
2018-12-05,28.7,0,10.11
2018-12-06,28.76,0,10.34
2018-12-07,20.86,0,7.71
2018-12-08,25.34,0,4.72
2018-12-09,25.27,0,3.43
2018-12-10,25.11,0,6.61
2018-12-11,31.71,0,7.82
2018-12-12,36.33,0,12.03
2018-12-13,37.51,0.33,6.14
2018-12-14,39.84,0.19,7.84
2018-12-15,37.14,0,7.58
2018-12-16,35.78,0,6.22
2018-12-17,32.86,0,6.86
2018-12-18,32.75,0,6.79
2018-12-19,42.11,0,11.07
2018-12-20,44.66,0.02,8.2
2018-12-21,34.3,0.04,14.67
2018-12-22,31.76,0,7.05
2018-12-23,34,0,11.64
2018-12-24,29.39,0,7.64
2018-12-25,36.9,0.02,5.37
2018-12-26,38.75,0,6.07
2018-12-27,46.22,0.83,16.89
2018-12-28,36.65,0,17.25
2018-12-29,28.73,0.01,7.68
2018-12-30,28.55,0,11.66
2018-12-31,37.85,1.03,11.07
2019-01-01,30.08,0,7.93
2019-01-02,29.85,0,9.49
2019-01-03,32.32,0,11.29
2019-01-04,38.68,0,8.11
2019-01-05,41.25,0,8
2019-01-06,39.53,0,12.6
2019-01-07,48.03,0.82,18
2019-01-08,39.91,0,15.38
2019-01-09,20.74,0,15.29
2019-01-10,20.63,0,5.2
2019-01-11,28.28,0,6.34
2019-01-12,30.41,0.15,11.52
2019-01-13,29.68,0,12.85
2019-01-14,25.09,0,9.33
2019-01-15,27.73,0,12.43
2019-01-16,32.15,0,9.32
2019-01-17,32.49,0,5.44
2019-01-18,30.33,0,12.03
2019-01-19,25.29,0.05,20.04
2019-01-20,11.78,0,14.5
2019-01-21,11.03,0,8
2019-01-22,27.02,0.21,10.31
2019-01-23,28.94,0.26,9.51
2019-01-24,14.7,0,13.82
2019-01-25,2.8,0,10.6
2019-01-26,7.11,0.04,6.43
2019-01-27,5.32,0,7.89
2019-01-28,21.53,0.42,15.4
2019-01-29,3.16,0,17.49
2019-01-30,-15.63,0,16.77
2019-01-31,-8.21,0.03,5.89
2019-02-01,11.91,0,6.03
2019-02-02,33.21,0,10.45
2019-02-03,43.43,0,10.09
2019-02-04,45,0.02,11.82
2019-02-05,31.13,0.61,9.98
2019-02-06,34.65,0.11,7
2019-02-07,32.84,0.83,12.24
2019-02-08,9.85,0,19.18
2019-02-09,16.38,0,6.07
2019-02-10,26.56,0.06,6.34
2019-02-11,30.54,0.22,12.38
2019-02-12,29.9,0.33,14.73
2019-02-13,20.58,0,16.45
2019-02-14,39.48,0,12.07
2019-02-15,18.47,0,13.43
2019-02-16,24.14,0,9.96
2019-02-17,27.09,0.17,10.33
2019-02-18,25.79,0.02,7.3
2019-02-19,25.61,0,5.04
2019-02-20,32.4,0.06,14.67
2019-02-21,30.46,0,11.5
2019-02-22,31.82,0,8.21
2019-02-23,38.66,0.66,9.96
2019-02-24,30.24,0.01,26.09
2019-02-25,16.46,0,10.18
2019-02-26,22.31,0,12.69
2019-02-27,25.5,0,9.63
2019-02-28,21.67,0,4.6
2019-03-01,30.27,0,5.83
2019-03-02,30.06,0,8.57
2019-03-03,20.15,0,11.39
2019-03-04,6.43,0,15.43
2019-03-05,13.85,0,16.21
2019-03-06,21.29,0,12.89
2019-03-07,23.8,0,6.33
2019-03-08,30.88,0,6.38
2019-03-09,38.1,0.58,15.38
2019-03-10,35.39,0,21.25
2019-03-11,33.46,0,9.5
2019-03-12,39.18,0,8.86
2019-03-13,48.53,0.53,11.97
2019-03-14,53.67,0.69,18.64
2019-03-15,37.27,0,16.37
2019-03-16,34.96,0,9.54
2019-03-17,36.48,0,7.14
2019-03-18,36.43,0,7.5
2019-03-19,41.57,0,8.18
2019-03-20,42.17,0.1,9.14
2019-03-21,39.85,0,10.39
2019-03-22,38.68,0,11.43
2019-03-23,40.68,0,4.29
2019-03-24,43.89,0.11,7.8
2019-03-25,36.35,0,16.52
2019-03-26,37.34,0,5.66
2019-03-27,46.39,0.08,12.18
2019-03-28,52.61,0.01,11.36
2019-03-29,45.75,0.49,8.56
2019-03-30,38.35,0.43,13.65
2019-03-31,31.55,0,12.48
2019-04-01,39.39,0,13.04
2019-04-02,44.9,0,13.97
2019-04-03,49.07,0.02,8.93
2019-04-04,44.11,0.37,11.14
2019-04-05,47.5,0,3.59
2019-04-06,52.32,0,4.73
2019-04-07,61.65,0.08,10.41
2019-04-08,63.71,0,8.5
2019-04-09,57.17,0,12.87
2019-04-10,38.79,0.1,16.57
2019-04-11,49.3,0.43,13.32
2019-04-12,47.77,0.14,18.3
2019-04-13,44.18,0,12.64
2019-04-14,34.23,0.92,16.48
2019-04-15,43.19,0,8.55
2019-04-16,57.9,0,10.1
2019-04-17,62.96,0,12.04
2019-04-18,52.51,0.81,11.76
2019-04-19,44.15,0,21.76
2019-04-20,51.93,0,14.39
2019-04-21,63.61,0,8.39
2019-04-22,69.06,0.28,12.81
2019-04-23,55.59,0,9.29
2019-04-24,55.32,0,5.64
2019-04-25,56.94,0.06,8.29
2019-04-26,56.32,0.03,15.61
2019-04-27,36.35,1.66,12.31
2019-04-28,43.96,0,11
2019-04-29,48.18,1.31,11.05
2019-04-30,45.09,2.68,10.91
2019-05-01,52.59,0.95,9.57
2019-05-02,44.78,0.33,8.8
2019-05-03,49,0.02,11.28
2019-05-04,51.77,0,6.39
2019-05-05,61.89,0,6.25
2019-05-06,56.72,0.04,9.21
2019-05-07,46.78,0.74,11.94
2019-05-08,59.53,0.79,11.84
2019-05-09,60.51,2.01,11.14
2019-05-10,48.65,0,8.84
2019-05-11,47.61,0.07,8.32
2019-05-12,46.69,0.08,10.86
2019-05-13,51.75,0,8.07
2019-05-14,58.64,0,4.82
2019-05-15,65.54,0,3.71
2019-05-16,67.92,0.17,8.64
2019-05-17,52.97,0.75,11.72
2019-05-18,60.05,0.6,7.76
2019-05-19,65.69,0.19,16.22
2019-05-20,50.94,0,10.67
2019-05-21,51.21,0.19,14.21
2019-05-22,64.17,2.25,12.56
2019-05-23,70.23,0.04,12.68
2019-05-24,64.89,0.16,8.94
2019-05-25,77.21,0,11.57
2019-05-26,66.53,0.02,7.07
2019-05-27,65.43,2.82,8.72
2019-05-28,59.72,1.33,10.09
2019-05-29,60.63,0.14,7.71
2019-05-30,68.23,0.15,6.83
2019-05-31,72.96,0,9.71
2019-06-01,67,0.03,8.6
2019-06-02,61.55,0,9
2019-06-03,58.86,0,8.21
2019-06-04,71.66,0.16,9.86
2019-06-05,72.03,0.45,9.23
2019-06-06,65.03,0,6.52
2019-06-07,68.68,0,9.68
2019-06-08,70.68,0,10.54
2019-06-09,68.63,0.07,6.16
2019-06-10,67.5,0,13.28
2019-06-11,72.36,0,9
2019-06-12,65.23,0.84,10.23
2019-06-13,59.31,0.02,15.55
2019-06-14,67.61,0.04,13.89
2019-06-15,64.74,0.35,7.83
2019-06-16,59,0.16,7.38
2019-06-17,60.39,0,6.81
2019-06-18,65.79,0,4.15
2019-06-19,62.95,0.54,9.57
2019-06-20,60.92,0.26,10.37
2019-06-21,63.46,0,6.14
2019-06-22,72.36,0,10
2019-06-23,73.82,0.26,9.24
2019-06-24,72.3,0.1,11.46
2019-06-25,76.7,0,12.83
2019-06-26,77.7,0.16,7.2
2019-06-27,77.94,0,8.78
2019-06-28,80.09,0.81,8.32
2019-06-29,79.21,0,6.43
2019-06-30,77.63,0.57,8.84
2019-07-01,81.5,0,7.82
2019-07-02,82.25,4.29,10.4
2019-07-03,76.71,0.14,6.61
2019-07-04,80.75,0,7.04
2019-07-05,83.61,0,6.57
2019-07-06,76.52,0,11.24
2019-07-07,72,0,12.63
2019-07-08,73.43,0,7.5
2019-07-09,79.32,0,6.75
2019-07-10,85.5,0,10.57
2019-07-11,75.46,0,8.21
2019-07-12,76.57,0,5.43
2019-07-13,81.87,0.16,10.17
2019-07-14,80.5,0,7.68
2019-07-15,82.71,0,13.11
2019-07-16,77.02,0.19,6.31
2019-07-17,81.93,0.84,5.67
2019-07-18,78,3.37,10.17
2019-07-19,87.14,0,13.07
2019-07-20,83.68,0.01,13.71
2019-07-21,73.98,0.38,10.83
2019-07-22,70.29,0,13.39
2019-07-23,71.46,0,8.18
2019-07-24,72.55,0,5.31
2019-07-25,75.5,0,6.18
2019-07-26,77.29,0,9.89
2019-07-27,80.71,0,13.32
2019-07-28,81.79,0,11.61
2019-07-29,75.88,2.52,9.91
2019-07-30,72.32,0,8.43
2019-07-31,69.86,0,9.29
2019-08-01,71.89,0,6.25
2019-08-02,74.71,0,5.93
2019-08-03,77.96,0,4.21
2019-08-04,78.54,0,5.64
2019-08-05,81.39,0,7.5
2019-08-06,74.84,0.4,7.74
2019-08-07,78.82,0,8.32
2019-08-08,78.9,0,10.73
2019-08-09,73.46,0,5.5
2019-08-10,75.61,0,6.75
2019-08-11,75.79,0,8.09
2019-08-12,75.96,1.35,5.02
2019-08-13,75.5,0.58,6.9
2019-08-14,73.35,2.03,8.15
2019-08-15,71.07,0,8.07
2019-08-16,74.46,0,9.25
2019-08-17,74.48,0.1,6.21
2019-08-18,74.43,2.13,8.11
2019-08-19,78.64,0,4.32
2019-08-20,73.87,0.19,5.35
2019-08-21,75.5,0,7.43
2019-08-22,72.79,0,10.14
2019-08-23,70.11,0,10.79
2019-08-24,70,0,10.6
2019-08-25,71.24,0,11
2019-08-26,71.74,1.3,10.98
2019-08-27,72.47,0,10.43
2019-08-28,68.75,0,12.86
2019-08-29,73.71,0,13.75
2019-08-30,68.37,0,6.59
2019-08-31,68.79,0.11,10
2019-09-01,67.32,1.02,4.53
2019-09-02,73.36,0,5.79
2019-09-03,73.4,0.2,12.8
2019-09-04,65.53,0,9.33
2019-09-05,65.29,0,4.5
2019-09-06,68.94,0,11.19
2019-09-07,68.79,0,9
2019-09-08,64.87,0.04,8.3
2019-09-09,69.29,0.01,7.19
2019-09-10,81.18,0,10.96
2019-09-11,80.22,0.24,10.34
2019-09-12,73,0.85,7.46
2019-09-13,71.76,1.36,10.03
2019-09-14,70.92,0,8
2019-09-15,70.49,0.96,10.79
2019-09-16,70.68,0,6.76
2019-09-17,70.78,0,7.19
2019-09-18,74.04,0,8.41
2019-09-19,74.36,0,6.11
2019-09-20,77.14,0.01,4.39
2019-09-21,75.04,0.47,12.21
2019-09-22,72.02,1.3,11.1
2019-09-23,67.13,0,9.63
2019-09-24,69.5,0,11.46
2019-09-25,70.35,0,12.87
2019-09-26,65.54,0,9.14
2019-09-27,66.33,2.44,10.89
2019-09-28,62.15,0.29,10.96
2019-09-29,65.1,1.28,8.68
2019-09-30,74.59,0,6.57
2019-10-01,80.46,0,10.21
2019-10-02,62.84,1.05,8.91
2019-10-03,61.71,0.18,10.66
2019-10-04,54.41,0,10.97
2019-10-05,57.38,0.28,9.69
2019-10-06,60.03,0,9.69
2019-10-07,60,0,6.29
2019-10-08,60.5,0,5.07
2019-10-09,62.18,0,8.61
2019-10-10,64.17,0.1,8.9
2019-10-11,53.47,0.71,14.19
2019-10-12,46.68,0,17
2019-10-13,47,0,12.07
2019-10-14,47.18,0,7.36
2019-10-15,54.74,0.01,12.26
2019-10-16,47.9,0,14
2019-10-17,47.43,0,5.18
2019-10-18,50.68,0,6.57
2019-10-19,58.43,0,8.57
2019-10-20,54,0,7.44
2019-10-21,58.89,0.08,16.26
2019-10-22,49.29,0.05,17.56
2019-10-23,50.54,0.01,8.86
2019-10-24,47,0,6.06
2019-10-25,46.34,0,4.14
2019-10-26,46.84,2.9,13.89
2019-10-27,50.56,0.05,11.06
2019-10-28,47.52,0,4.64
2019-10-29,40.24,0.15,9.73
2019-10-30,39.43,1.03,11.8
2019-10-31,32.87,0.2,15.98
2019-11-01,35.67,0,10.4
2019-11-02,39.06,0,11.03
2019-11-03,43.43,0,9.93
2019-11-04,46.86,0,10.43
2019-11-05,37.04,0,9.43
2019-11-06,39.92,0,12.53
2019-11-07,27.87,0,13.13
2019-11-08,25.71,0,8
2019-11-09,38.79,0,10.82
2019-11-10,40.73,0.01,9.06
2019-11-11,26,0.21,16.67
2019-11-12,13.68,0,10.96
2019-11-13,20.71,0,12.71
2019-11-14,28.26,0,7.85
2019-11-15,30.4,0,4.9
2019-11-16,35,0,7.29
2019-11-17,35.57,0,6.6
2019-11-18,37.74,0,6.28
2019-11-19,39.38,0.06,3.88
2019-11-20,43.05,0,6
2019-11-21,47.79,0.63,17
2019-11-22,34.07,0,7.67
2019-11-23,33.32,0,6.68
2019-11-24,42.57,0,10.29
2019-11-25,44.86,0,7.54
2019-11-26,44.38,0.65,7.9
2019-11-27,43.75,0.24,22.19
2019-11-28,35.41,0,8.47
2019-11-29,37.6,0.01,6.12
2019-11-30,38.52,0.26,13.69
2019-12-01,39.02,0.1,11.41
2019-12-02,32.63,0,10.97
2019-12-03,34.34,0,12.44
2019-12-04,37.39,0,11.89
2019-12-05,38.68,0,6.25
2019-12-06,36.1,0,10.23
2019-12-07,33.25,0,7.86
2019-12-08,42.55,0,10.91
2019-12-09,42.92,0.02,14.19
2019-12-10,19.57,0,13.87
2019-12-11,19.62,0,9.59
2019-12-12,34.71,0,13.18
2019-12-13,39.07,0,5.39
2019-12-14,31.86,0,9.03
2019-12-15,24.29,0,6.26
2019-12-16,28.77,0,8.1
2019-12-17,25.91,0,12.22
2019-12-18,19.04,0,9.79
2019-12-19,27.04,0,9.36
2019-12-20,32.96,0,5.29
2019-12-21,39.29,0,8.61
2019-12-22,41.07,0,9.14
2019-12-23,42.89,0,7.54
2019-12-24,38.5,0,4.93
2019-12-25,50.79,0,9.71
2019-12-26,53.28,0,10.72
2019-12-27,35.07,0,8.21
2019-12-28,40.8,0.21,9.05
2019-12-29,54.76,1.09,11.52
2019-12-30,34.27,0.14,18.81
2019-12-31,27.59,0,17.56
