Date,Opponent,Result,W-L,Hi Points,Hi Rebounds,Hi Assists
"Thu, Oct 18",@ Philadelphia ,L127-108  ,0-1,LaVine  30,Portis  11,Arcidiacono  8
"Sat, Oct 20",vs Detroit ,L118-116  ,0-2,LaVine  33,Portis  14,Arcidiacono  7
"Mon, Oct 22",@ Dallas ,L115-109  ,0-3,LaVine  34,Carter Jr.  9,Dunn  7
"Wed, Oct 24",vs Charlotte ,W112-110  ,1-3,LaVine  32,Parker  9,LaVine  5
"Fri, Oct 26",@ Charlotte ,L135-106  ,1-4,LaVine  20,Felicio  7,LaVine  4
"Sat, Oct 27",@ Atlanta ,W97-85  ,2-4,LaVine  27,LaVine  11,Arcidiacono  7
"Mon, Oct 29",vs Golden State ,L149-124  ,2-5,LaVine  21,Parker  9,Parker  5
"Wed, Oct 31",vs Denver ,L108-107 OT ,2-6,LaVine  28,Parker  9,LaVine  7
"Fri, Nov 2",vs Indiana ,L107-105  ,2-7,Blakeney  22,Felicio  9,Payne  8
"Sat, Nov 3",vs Houston ,L96-88  ,2-8,LaVine  21,Carter Jr.  13,LaVine  4
"Mon, Nov 5",@ New York ,W116-115 2OT ,3-8,LaVine  41,Carter Jr.  13,LaVine  4
"Wed, Nov 7",@ New Orleans ,L107-98  ,3-9,LaVine  22,Parker  13,LaVine  4
"Sat, Nov 10",vs Cleveland ,W99-98  ,4-9,LaVine  24,LaVine  8,LaVine  5
"Mon, Nov 12",vs Dallas ,L103-98  ,4-10,LaVine  26,Carter Jr.  10,Arcidiacono  6
"Wed, Nov 14",@ Boston ,L111-82  ,4-11,Harrison  16,LaVine  9,LaVine  4
"Fri, Nov 16",@ Milwaukee ,L123-104  ,4-12,Parker  21,Parker  8,Holiday  4
"Sat, Nov 17",vs Toronto ,L122-83  ,4-13,Blakeney  13,Parker  6,Harrison  6
"Wed, Nov 21",vs Phoenix ,W124-116  ,5-13,LaVine  29,Parker  13,Parker  8
"Fri, Nov 23",vs Miami ,L103-96  ,5-14,Holiday  27,Holiday  13,LaVine  9
"Sat, Nov 24",@ Minnesota ,L111-96  ,5-15,LaVine  28,Holiday  11,Holiday  5
"Mon, Nov 26",vs San Antonio ,L108-107  ,5-16,LaVine  28,Parker  10,LaVine  7
"Wed, Nov 28",@ Milwaukee ,L116-113  ,5-17,LaVine  24,LaVine  9,LaVine  7
"Fri, Nov 30",@ Detroit ,L107-88  ,5-18,Carter Jr.  28,Carter Jr.  7,LaVine  9
"Sat, Dec 1",@ Houston ,L121-105  ,5-19,LaVine  29,Parker  12,Payne  6
"Tue, Dec 4",@ Indiana ,L96-90  ,5-20,Markkanen  21,Carter Jr.  13,LaVine  9
"Fri, Dec 7",vs Oklahoma City ,W114-112  ,6-20,LaVine  25,Markkanen  7,LaVine  7
"Sat, Dec 8",vs Boston ,L133-77  ,6-21,Harrison  20,Felicio  7,Payne  3
"Mon, Dec 10",vs Sacramento ,L108-89  ,6-22,LaVine  19,Portis  8,Dunn  6
"Thu, Dec 13",vs Orlando *,L97-91  ,6-23,LaVine  23,Portis  7,LaVine  5
"Sat, Dec 15",@ San Antonio ,W98-93  ,7-23,Dunn  24,Dunn  7,Arcidiacono  6
"Mon, Dec 17",@ Oklahoma City ,L121-96  ,7-24,Markkanen  16,Markkanen  15,Dunn  7
"Wed, Dec 19",vs Brooklyn ,L96-93  ,7-25,Dunn  24,Portis  11,Dunn  6
"Fri, Dec 21",vs Orlando ,W90-80  ,8-25,Markkanen  32,Holiday  10,Arcidiacono  8
"Sun, Dec 23",@ Cleveland ,W112-92  ,9-25,Markkanen  31,Dunn  8,Arcidiacono  8
"Wed, Dec 26",vs Minnesota ,L119-94  ,9-26,LaVine  28,Carter Jr.  9,Dunn  7
"Fri, Dec 28",@ Washington ,W101-92  ,10-26,LaVine  24,Markkanen  14,Dunn  8
"Sun, Dec 30",@ Toronto ,L95-89  ,10-27,Markkanen  18,Carter Jr.  11,Dunn  8
"Wed, Jan 2",vs Orlando ,L112-84  ,10-28,LaVine  16,Markkanen  6,Dunn  4
"Fri, Jan 4",vs Indiana ,L119-116 OT ,10-29,LaVine  31,Markkanen  9,Dunn  17
"Sun, Jan 6",vs Brooklyn ,L117-100  ,10-30,LaVine  27,Carter Jr.  8,Dunn  7
"Wed, Jan 9",@ Portland ,L124-112  ,10-31,Carter Jr.  22,Hutchison  8,Dunn  7
"Fri, Jan 11",@ Golden State ,L146-109  ,10-32,LaVine  29,Hutchison  6,Dunn  5
"Sat, Jan 12",@ Utah ,L110-102  ,10-33,LaVine  21,Carter Jr.  9,Dunn  8
"Tue, Jan 15",@ Los Angeles ,L107-100  ,10-34,Parker  18,Carter Jr.  10,LaVine  8
"Thu, Jan 17",@ Denver ,L135-105  ,10-35,Markkanen  27,Portis  13,LaVine  6
"Sat, Jan 19",vs Miami ,L117-103  ,10-36,LaVine  22,Markkanen  9,LaVine  6
"Mon, Jan 21",@ Cleveland ,W104-88  ,11-36,LaVine  25,Lopez  9,Dunn  9
"Wed, Jan 23",vs Atlanta ,L121-101  ,11-37,LaVine  23,Portis  7,LaVine  4
"Fri, Jan 25",vs LA ,L106-101  ,11-38,LaVine  29,Portis  15,Dunn  10
"Sun, Jan 27",vs Cleveland ,L104-101  ,11-39,Markkanen  21,Markkanen  15,Dunn  7
"Tue, Jan 29",@ Brooklyn ,L122-117  ,11-40,LaVine  26,Markkanen  19,LaVine  5
"Wed, Jan 30",@ Miami ,W105-89  ,12-40,Portis  26,Markkanen  13,Selden  8
"Sat, Feb 2",@ Charlotte ,L125-118  ,12-41,Portis  33,Portis  9,Arcidiacono  6
"Wed, Feb 6",vs New Orleans ,L125-120  ,12-42,Markkanen  30,Markkanen  10,Dunn  8
"Fri, Feb 8",@ Brooklyn ,W125-106  ,13-42,Markkanen  31,Markkanen  18,Dunn  9
"Sat, Feb 9",vs Washington ,L134-125  ,13-43,LaVine  26,Markkanen  11,Dunn  8
"Mon, Feb 11",vs Milwaukee ,L112-99  ,13-44,LaVine  27,Markkanen  17,LaVine  7
"Wed, Feb 13",vs Memphis ,W122-110  ,14-44,Porter Jr.  37,Porter Jr.  10,Arcidiacono  11
"Fri, Feb 22",@ Orlando ,W110-109  ,15-44,Markkanen  25,Markkanen  11,LaVine  6
"Sat, Feb 23",vs Boston ,W126-116  ,16-44,LaVine  42,Markkanen  15,Dunn  5
"Mon, Feb 25",vs Milwaukee ,L117-106  ,16-45,Markkanen  26,Markkanen  12,LaVine  9
"Wed, Feb 27",@ Memphis ,W109-107  ,17-45,LaVine  30,Markkanen  10,LaVine  4
"Fri, Mar 1",@ Atlanta ,W168-161 4OT ,18-45,LaVine  47,Markkanen  17,LaVine  9
"Sun, Mar 3",vs Atlanta ,L123-118  ,18-46,Markkanen  19,Markkanen  9,Dunn  6
"Tue, Mar 5",@ Indiana ,L105-96  ,18-47,LaVine  27,Markkanen  13,Dunn  5
"Wed, Mar 6",vs Philadelphia ,W108-107  ,19-47,LaVine  39,Lopez  9,LaVine  4
"Fri, Mar 8",vs Detroit ,L112-104  ,19-48,LaVine  24,Dunn  7,Porter Jr.  8
"Sun, Mar 10",@ Detroit ,L131-108  ,19-49,Selden  18,Felicio  7,Harrison  7
"Tue, Mar 12",vs Los Angeles ,L123-107  ,19-50,Lopez  20,Porter Jr.  9,Dunn  9
"Fri, Mar 15",@ LA ,L128-121  ,19-51,LaVine  31,Lopez  8,LaVine  7
"Sun, Mar 17",@ Sacramento ,L129-102  ,19-52,LaVine  18,Felicio  10,Harrison  7
"Mon, Mar 18",@ Phoenix ,W116-101  ,20-52,Lopez  24,Markkanen  9,LaVine  7
"Wed, Mar 20",vs Washington ,W126-120 OT ,21-52,Markkanen  32,Markkanen  13,Dunn  13
"Sat, Mar 23",vs Utah ,L114-83  ,21-53,Markkanen  18,Markkanen  10,Dunn  5
"Tue, Mar 26",@ Toronto ,L112-103  ,21-54,Selden  20,Markkanen  9,Harrison  5
"Wed, Mar 27",vs Portland ,L118-98  ,21-55,Harrison  21,Selden  12,Lopez  4
"Sat, Mar 30",vs Toronto ,L124-101  ,21-56,Lemon Jr.  19,Luwawu-Cabarrot  10,Lemon Jr.  6
"Mon, Apr 1",@ New York ,L113-105  ,21-57,Lopez  29,Harrison  10,Harrison  5
"Wed, Apr 3",@ Washington ,W115-114  ,22-57,Lemon Jr.  24,Sampson  9,Lemon Jr.  8
"Sat, Apr 6",vs Philadelphia ,L116-96  ,22-58,Sampson  29,Sampson  8,Lemon Jr.  5
"Tue, Apr 9",vs New York ,L96-86  ,22-59,Arcidiacono  14,Sampson  8,Arcidiacono  3
"Wed, Apr 10",@ Philadelphia ,L125-109  ,22-60,Lemon Jr.  20,Selden  8,Arcidiacono  6
